,Sr No.,Utterance,Emotion
6932,7326,"Whoa, whoa, whoa, whoa, whoa! So, I walk in the door and make    the right",surprise
6944,7338,What?!,surprise
6963,7357,"No, we’re not!!",anger
6970,7364,Oh my God! What are you doing here?,surprise
6983,7377,Monica!,surprise
6987,7381,"Sorry, I just…can’t sleep.",surprise
6988,7382,Ooh!,anger
6996,7390,"Oh, it even has a tree with a broken limb out front and the uh, the window in the attic is…Oh my God!",surprise
6997,7392,What? What happened to the window in the attic?!,surprise
6998,7393,I can’t believe mom and dad are selling the house!,anger
7000,7395,I can’t believe I still don’t know what happened to the,surprise
7007,7408,Whoa!,surprise
7008,7409,Whoa!,surprise
7011,7414,Huh?,anger
7018,7421,"Look, all my stuff is safe and dry and all hers is-is, is growing new stuff!",anger
7019,7422,"See, this is exactly the kind of thing that makes her think you guys love me more than you love her.",anger
7020,7423,"Oh my God, does she really thinks that?",surprise
7024,7427,Really?,surprise
7031,7435,You could?,surprise
7033,7437,Your own boat?,surprise
7034,7438,What?! What?! He was trying to cheer me up! My pony was sick.,surprise
7036,7440,Count in our heads as-as good,anger
7048,7453,He's a he?,surprise
7049,7454,Well yeah!,surprise
7051,7456,"I- just- I thought- Good, Shelley.",anger
7057,7462,Hey!,surprise
7061,7466,My agent would like to know why I didn't show up at the audition I didn't know I had today.,anger
7063,7468,How could you not give me the message?,anger
7064,7470,"Well, I'll tell ya I do enjoy guilt, but, ah, it wasn't me.",anger
7065,7471,"Yes, it was! It was him! Uh huh!  Okay, it was me!",anger
7068,7474,Is that why you wanted to tie my tie?,surprise
7070,7476,Whoa!,surprise
7071,7477,Whoa what?,surprise
7074,7480,Really?,surprise
7077,7483,"I mean, last year Elizabeth now-now this kid.",anger
7079,7485,Am I giving out some kind of…sexy professor vibe?,anger
7100,7506,"We’re really gonna do this, huh?",surprise
7112,7518,How hot is this?!,surprise
7120,7526,Down at the docks again?,anger
7122,7528,I’m not gonna tell you! You’re the bad man who broke Sarah’s leg.,anger
7123,7529,"Hey now! That was an accident, okay.",anger
7124,7530,You’re a big scrud.,anger
7126,7532,"Why don’t you look in the mirror, scrud.",anger
7129,7535,Not nice enough.,anger
7132,7538,Really?!,surprise
7137,7544,It’s a word!,surprise
7141,7548,"So, are you really gonna go out with that nurse man?",surprise
7147,7554,"Really? Okay, so",surprise
7152,7559,"Ow!-Ow!-Ow! Ow! Ow! Ow! Ow! Ow! Ow! Y'know, ow!",anger
7153,7560,Hey!-Hey! What’s going on?,surprise
7154,7561,She broke my arm.,anger
7155,7562,He touched my fanny.,anger
7156,7563,"No, she touched mine first!",anger
7157,7564,That’s my job!,anger
7158,7565,Are you being British?!,surprise
7160,7567,Why are you shopping here? You don't live in this neighborhood. Were you here waiting for me?,surprise
7162,7569,Barley? What kind of party serves barley?,anger
7163,7570,"Well, I'm sorry if my friends aren't as sophisticated as yours.",anger
7166,7573,Who's party is it?,anger
7168,7575,What woman?!,anger
7175,7583,"Y’know uh, actually I-I-I should get going.",anger
7177,7585,"Wow. Oh, I am really flattered, but I just I don’t feel that way about you.",surprise
7178,7586,"Oh no-no-no, that’s not—No-no-no!",anger
7179,7587,Did you just flick me?,anger
7181,7589,"Oh!  All right.  Now, let's not do this!",anger
7182,7590,Happy thoughts!  Happy thoughts!,anger
7183,7591,"OK, now I'm gonna kick some ass.",anger
7184,7592,Ow! Ow! Ow!,anger
7186,7595,Fine!,anger
7187,7596,Fine!,anger
7190,7599,Oh my God!,surprise
7200,7610,Really?,surprise
7201,7611,Yeah! Oh yes!,anger
7210,7620,I am not high maintenance!,anger
7211,7621,I am not a pushover!,anger
7213,7623,You did!,anger
7225,7635,"Ross, what's the matter?",anger
7227,7637,Why are you here?,surprise
7230,7640,Oh! Someone's a little cranky today cuz they have to do it in    a cup!  Oh! They gave you the kiddy size .,anger
7231,7641,What!?,surprise
7238,7648,Rachel?!,surprise
7240,7650,"Look, these clowns are trying to take us for a ride and I'm not gonna let 'em!",anger
7241,7651,And we're not a couple of suckers!,anger
7244,7654,"Can you just pick one so I can watch--have a perfect, magical weekend together with you.",anger
7246,7656,Nothing! It's over! Dammit! This is regularly scheduled programming!,anger
7248,7658,"Oh, I'm sorry, am I getting in the way of all the room switching fun?",anger
7249,7659,"Hey, don't blame me for wigging tonight!",anger
7250,7660,"Oh, who should I blame? The nice bell man who had to drag out luggage to 10 different rooms?",anger
7251,7661,"I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!",anger
7252,7662,Do not speak ill of the dead.,anger
7253,7663,"We're supposed to uh, be spending a romantic weekend together, it-it, what is the matter with you?",anger
7255,7665,What did you say?,anger
7271,7681,"And who knows what science will come up with in the future, but Chandler, what if I die an unsuccessful, regular sized man?",anger
7272,7682,"Hey, Monica, wow you’ve been in the bathroom for like a half-hour.",surprise
7273,7683,I know!,anger
7276,7686,Not so fast Wesley!,anger
7278,7688,"That’s right Wesley! I just stopped by to say that, you’re not a real doctor! And that woman’s brain, is fine!",anger
7303,7713,What?,surprise
7304,7714,"Hey, how, how did you do that?",surprise
7307,7754,Whoooaa!,surprise
7310,7757,Oh my God! What were you doing in a library?,surprise
7315,7762,No way!,surprise
7333,7729,Really?!,surprise
7334,7730,"Hey, y’know what?",surprise
7341,7737,"Wow, you have really pretty feet.",surprise
7343,7739,"Would you mind spending some time on my siadic area, it’s been killing me today.",anger
7347,7743,"So umm, tell me Rick, how umm, how did you injure the area.",surprise
7350,7746,Ow! Did you just bite me?,surprise
7351,7747,No!,surprise
7356,7755,Why have you been following me?,anger
7359,7758,What?,surprise
7374,7773,Wow! Umm....,surprise
7388,7787,What about my children Drake?! Huh!?  No!! No!! No! God!,anger
7390,7789,Are you kidding me?!,anger
7391,7790,It’s just so frustrating! Why doesn’t she want my breast?!,anger
7392,7791,I don’t know! Maybe she’s crazy!,anger
7416,7816,Okay?,anger
7418,7818,"Aww, like I could hurt you. Are you making fun of my size? Don't make fun of me because of my size!",surprise
7419,7819,"Oh, Joey! Sorry!",surprise
7436,7836,"What?! Joey, you don’t want to go on a date with a pregnant lady.",surprise
7447,7847,"Ow, I'm just going over the script now! You wanna read lines with    me?",surprise
7450,7850,"Oh screw her, that part is mine!",anger
7452,7852,"Okay. . Hello Drake, I'm surprised to see you    here.",surprise
7453,7853,I can't believe you married him.,surprise
7454,7854,But what choice did I have. He was keeping my sister    in a,anger
7457,7857,How can I?,surprise
7462,7862,What?,surprise
7468,7868,"Anyway, I was just thinking, I mean, if you'd gone to Vail, and if you guys'd been with your family, if you didn't have syphilis and stuff, we wouldn't be all together, you know?",anger
7474,7874,"Now, hold on!",anger
7475,7875,Hold on!,anger
7476,7876,"Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you tell her that I’m gonna be at that airport and I hope that she’ll be there too!",anger
7477,7877,"Oh yeah, I said Rachel’s name, but it didn’t mean anything, Okay?",anger
7478,7878,She’s-she’s just a friend and that’s all!,anger
7480,7880,Now just tell Emily that I love her and that I can’t imagine spending my life with anyone else.,anger
7482,7882,"All right, I’ll tell her.  Come on bugger face!",anger
7484,7884,"You spend half your life in the bathroom, why don’t you ever go out the bloody window!",anger
7485,7885,What happened?!!,surprise
7486,7886,"Well, I don’t know!!",surprise
7491,7891,Okay. But not about this!,anger
7492,7892,No! Never! Never!  Bye.,anger
7495,7895,What?,surprise
7498,7898,You fell asleep?,surprise
7500,7900,Irony?,surprise
7520,7920,That I was not expecting.,surprise
7525,7925,I just can't believe you're in here.,surprise
7535,7935,Oh my.,surprise
7552,7953,"Honey, really, don't squeeze it so hard!",anger
7553,7955,Let go of my hand!,anger
7559,7961,You’re a mean old woman.,anger
7561,7963,"Look honey, you don’t have to do this, okay?",surprise
7565,7967,That means nothing to me.  Come on!,anger
7569,7972,: No! You’re clogging up the chute that I spent a half-hour unclogging!,anger
7571,7974,": Oh yeah, of course you don’t!",anger
7573,7978,": You think you could make a mess and the big man in coveralls will come in here and clean it up, huh?",anger
7574,7979,"Well, why don’t think of someone else for a change?",anger
7580,7985,"It's no big deal, I mean it is her home phone number, but... Whoa!",surprise
7582,7987,"Yeah, the lovely Amanda gives me her number and I-I go and drop it.",anger
7584,7989,I don’t know how any of these got opened?!,surprise
7585,7990,You opened them all?,surprise
7594,7999,"Oh wow, you didn’t even try to unhook my bra!",surprise
7598,8003,I’m not?,surprise
7603,8009,If I can’t have it you can’t have it!,anger
7621,8027,You serious?,surprise
7622,8028,Oh yes!,anger
7626,8032,No! No! No! No——one can beat me.,anger
7628,8034,Who is that?!,surprise
7644,8050,Mm! Seems like I would’ve remembered you!,surprise
7650,8056,Well have we finished the scene?,surprise
7662,8070,Hi!,anger
7672,8082,Oh my God! Look at this!,surprise
7674,8084,I don’t care! The wires have come loose in your head!,anger
7679,8089,Oh my God.,surprise
7699,8110,But she just came up here!,surprise
7703,8114,Would you stop that!,anger
7707,8118,Really?,surprise
7708,8119,"Yes! Now, she feels terrible! She really wants to make up! You gotta find her.",anger
7719,8130,No-no-no-no.  Hey!,surprise
7724,8135,Secret? Married people aren’t supposed to have secrets between one another. We have too much love and respect for one another.,anger
7741,8154,"Nothing, I’m just practicing blowing you off because I’m gonna be a big movie star!",surprise
7754,8167,"Are you kidding me? I never rent a movie without it!  Oh.  Uh, okay uh let me call you back.",surprise
7756,8169,They want me to be totally naked in the movie!,surprise
7757,8170,Wow!,surprise
7761,8174,"What? Of course I did! You uh, you sat next to Sleepy Sleeperson.",surprise
7767,8180,Yes you did! What was it?,surprise
7771,8184,"Y’know how before you said it might be weird, the whole student teacher thing, and to be frank I thought it would be too, but it’s not.",surprise
7787,8200,"Phoebe, what are you doing?",surprise
7791,8204,You're taking the word of a guy who has night vision goggles?,surprise
7792,8205,"What, he's not still following her. Do you think he is still following her?",surprise
7798,8211,"Oh, that's what I would do, forget mine.",surprise
7801,8216,She’s not crazy is she?,surprise
7823,8240,"Comin' through. Move, move.",anger
7826,8243,But I saved it. I put my basket on top.,anger
7827,8244,"Oh, I'm sorry, is that your basket? It's really pretty. Unfortunately, I don't see suds.",anger
7828,8245,What?,surprise
7829,8246,"No suds, no save. Ok?",anger
7836,8253,"No suds? Excuse me, hold on a second.  That's my friend's machine.",anger
7838,8255,"Hey, hey, hey, that's not the rule and you know it.",anger
7839,8256,Cause it's good money! But that doesn't change the fact that    this is an evil blood sucking corporate machine!,anger
7841,8258,"Ok, are they listening?",anger
7844,8261,Watch it lady!,anger
7850,8267,Ross do you realise this is the first time in my life I’m doing something I actually care about.,anger
7851,8268,This is the first time in my life I’m doing something that I’m actually good at.,anger
7853,8270,if you don’t get that...,anger
7854,8271,"No, hey, I get that, okay, I get that big time.",anger
7855,8272,"And I’m happy for ya, but I’m tired of having a relationship with your answering machine!",anger
7858,8275,Hey!,anger
7861,8278,15?  Your personal best! (Ross takes an,surprise
7864,8281,"Oh, yeah! How did you meet her?",surprise
7872,8289,How can she be great if she’s from Poughkeepsie?  That joke would’ve killed in Albany.,anger
7876,8293,He cannot play at our wedding!,anger
7877,8294,I mean everyone will leave!,anger
7878,8295,"I mean come on, that is just noise!",anger
7879,8296,It’s not even a song!,anger
7881,8298,"Oh, I want to look too! . Yikes!",surprise
7895,8312,What?!,surprise
7899,8316,Is that a secret or a lie.,anger
7901,8318,Yeah?,surprise
7902,8319,Would you tell her I let you win please?,anger
7904,8321,I am strong! I’ll show you!,anger
7906,8323,Oh what’s the matter? Are you scared?,anger
7907,8324,Let’s go big bunny!,anger
7910,8327,"Uh-huh, that's why they call it Staten",surprise
7911,8328,Ohhh. I thought it was like Long Island.,surprise
7915,8332,"Wow! You realize that we've been throwing this ball, without dropping it, for like an hour?",surprise
7916,8333,Are you serious?!,surprise
7918,8335,Wow! We are pretty good at this! Hey! We totally forgot about lunch!,surprise
7919,8336,"Oh, I-I, I think that's the first time I ever missed a meal!  Yeah, my pants are a little loose!",anger
7925,8342,Oh God. So-so you’re making porn movies.,surprise
7926,8343,No I’m not.,anger
7927,8344,You’re making one right now!,anger
7932,8349,What?!,surprise
7935,8354,And stop using my name!,anger
7950,8369,"Ok, thanks Pheebs  Oh my God, why have I never tasted these before?!",surprise
7952,8371,"All right, well, you're right, these are the best oatmeal cookies I've ever had.",surprise
7960,8379,"Honey, we were at this beautiful place, and I-I-I just put our names down for fun!",anger
7963,8382,"Chandler, please don’t think I was trying to pressure you. Phoebe and Rachel",anger
7964,8383,Phoebe and Rachel!,anger
7972,8391,I’m gonna go tell Joey that  that you’re back. I was really worried about you.,anger
7989,8421,His new girlfriend!,surprise
7990,8422,I can’t believe this. Do you think that your parents could help pay for it?,surprise
7992,8424,She’s saving the rest for her divorce.,anger
7995,8427,My parents spent the money for our wedding!,anger
7996,8428,My God! What did you order?!,surprise
8016,8448,"I’m Ted, and I just moved here a month ago, and New York really scares me.",anger
8018,8450,"Yeah, you hang in there Teddy!",anger
8022,8454,"Wow, Rhonda.",surprise
8052,8485,Oh my God.,surprise
8054,8489,You're over me?,surprise
8055,8490,Ohhhhhhhh God.,surprise
8056,8491,"Wha... you're uh, you're, you're over me?",surprise
8058,8493,"When, when were you... under me?",surprise
8060,8495,"OK, I need to lie down.",surprise
8071,8506,I look more like him than you do!,anger
8077,8512,Really?!,surprise
8081,8516,Boyfriend?,surprise
8108,8544,"Um, then yes, it's 'cause of Phoebe! So, you know, it's either her or me.",anger
8111,8547,"Oh, hello liar.",anger
8113,8549,I could’ve been killed I hope you know!,anger
8117,8553,What?!  What the hell?!,anger
8118,8554,"All right, y’know what?",anger
8119,8555,"If you are not going to learn how to ride this bike then I’m sorry, I’m just gonna have to take it back.",anger
8120,8556,What?! Why?!,surprise
8121,8557,"Because! Because, it-it-it’s… It’d be like you having this guitar  and-and never playing it. Okay, this guitar",anger
8122,8558,"All right. If you care enough to make up that load of crap, okay.",anger
8124,8560,Okay Ross!  Please don’t die!,anger
8127,8563,But what?! You figured you’d get what you wanted and then dump her like you dumped Rachel!,anger
8128,8564,Hey! I did not dump Rachel!  Nor are we still together.  Can I just…  Why don’t we just let the machine get that?,anger
8132,8568,"Just one last question umm, are you and your friends gonna be over here all the time like partying and hanging out?",anger
8137,8573,Why did you take the shower curtain down?,surprise
8142,8578,What?! Why? Joey you were so ready for it!,surprise
8144,8580,No!,surprise
8156,8592,"Hey, Mel Gibson and Clint Eastwood.",surprise
8157,8593,They’re not a couple!,surprise
8166,8602,Really?,surprise
8170,8606,"Ursula!  Wait! Err-err, it’s me! Phoebe!",surprise
8172,8608,"Wait a second! So, what’s new with you?",surprise
8174,8610,And your breasts! Hmm!!!,surprise
8183,8619,What?!,surprise
8187,8623,Wow! You do?,surprise
8193,8629,"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?",anger
8194,8630,What?,surprise
8195,8631,What's different?,surprise
8198,8634,"She is unbelievable, our mother is...",anger
8201,8637,Oh God!,surprise
8203,8639,Oh!,surprise
8210,8646,You can't!,surprise
8211,8647,Why?  Seriously I did not understand a word that    you said.,surprise
8220,8656,Huh?,surprise
8225,8661,I’m Monica’s maid of honor. Okay? Don’t try to blue pin me!,anger
8227,8663,Limited seating my ass. Let’s see who made the cut.  Hi!,anger
8229,8665,Used to work with her. Used to! I’m a relative and I didn’t get invited! A,anger
8233,8669,"Monica, why have you brought me here of all places?!",surprise
8242,8679,Well then we’ll get wet.,anger
8245,8682,I have a bone to pick with you.,anger
8247,8684,Yes! Ben learned a little trick.,anger
8248,8685,Oh yeah? Did he pull the old,surprise
8251,8688,Yeah that! You know I hate practical jokes! They’re mean and they’re stupid and-and I don’t want my son learning them!,anger
8252,8689,Y’know what? It doesn’t matter! Because it is not true!,anger
8256,8693,Mark's a genius!,surprise
8257,8694,Why?! How?! How is he a genius?,surprise
8258,8695,"Look, don't you see what's happening here.",anger
8259,8696,"Instead of hitting on her right away, he's becoming her confidant.",anger
8267,8704,"And before you know it, she's with him.",anger
8268,8705,"And you'll be all, 'Ohh, man!'",anger
8269,8706,"And he'll be all, 'Yes!'",anger
8294,8732,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!,surprise
8296,8734,What's that supposed to mean?,surprise
8307,8745,"$200? Are you sure Pheebs? I mean, after what",surprise
8308,8746,"Oh, I'm still mad at them but I also now that they bring happiness to lots of kids who's moms didn't kill themselves, so by supporting them, I'm doing a good thing, but I'm not",anger
8309,8747,What kind of problem?,surprise
8311,8749,Oh my God!,surprise
8315,8754,I don't have to give up the bag!,anger
8317,8756,"Oh, you think I should give up the bag!",anger
8322,8762,Wait a minute!,anger
8328,8768,Half a tank? We still got a lot of high-speed chasing to do!,surprise
8329,8769,We're switching rooms again.,anger
8330,8770,What? Why?,surprise
8331,8771,"This is a garden view room, and we paid for an ocean view room.",anger
8333,8773,"Excuse me, umm, can I talk to you over here for just a second?",anger
8336,8776,Are you kidding me?! Joey. Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey!!,anger
8337,8777,Joey. Joey. Joey. Joey! Joey!!,anger
8338,8778,"Oh. Oh, did-did-did I wake you?",surprise
8340,8780,"Hey! Oh, I was just about to leave. I-I-I-I didn’t think you were coming.",surprise
8351,8791,Oh really?!,surprise
8367,8807,Hey-Hey-Hey! Who was that?,surprise
8369,8809,"Goin’ out, huh? Wow! Wow!  So things didn’t work out with Kathy, huh? Bummer.",surprise
8371,8811,What?,surprise
8372,8812,Yeah-yeah. And the craziest thing is that I just ate a whole pizza by myself!,anger
8373,8813,Wait! You’re going out with Kathy!,surprise
8374,8814,Yeah. Why are you getting so upset?,surprise
8377,8817,"Look, Joey, Kathy is clearly not fulfilling your emotional needs.",anger
8379,8819,You got all that from the back of her head?,surprise
8385,8825,"Oh, come on! I’ll give you ten free",anger
8386,8826,One!  No ten! You said ten! You can’t take that back!,anger
8403,8843,"Phoebe, they didn’t make you pay for those knives, did they?",surprise
8409,8851,Why?,surprise
8411,8853,What?!,surprise
8413,8855,"In fact, I-I-I was married to one of them.",anger
8414,8856,"Let me get this straight man, you attacked your ex-wife?!",anger
8415,8857,"Oh, no!",surprise
8416,8858,No-no!,surprise
8417,8859,"No, I tired!",surprise
8419,8861,That’s why I’m here.,anger
8423,8865,"Dude, if you go back out there, you’re gonna be Dead Ross!",anger
8424,8866,I don’t care! I am not quitting! I insist on finishing this game!,anger
8425,8867,"All right, all right, if you insist on doing this, at least let me help you.",anger
8439,8881,I don’t care! You just get him!,anger
8447,8889,Really?!,surprise
8452,8894,Ross got married again—Nooooooo!!!!!!!!!,surprise
8455,8897,Whoa!!,surprise
8456,8898,Oh!,surprise
8457,8899,Wow that was a big one.,surprise
8466,8908,Wow! How do you know how to do that?!,surprise
8470,8912,Remember that guy that gave me a bad review? Well…  I’m getting my revenge!,anger
8471,8913,You cooked him?,surprise
8486,8930,"I won’t spit, and I won’t stare at Monica’s breasts!",anger
8498,8944,What the hell is that?,anger
8499,8945,"Whoa! Whoa! Whoa! Treeger, what are you doing?",surprise
8504,8950,Come on!,anger
8511,8957,You believe that this guy is destined for someone else and you’re still gonna date him?,surprise
8513,8961,"Oh, but it’s made her so happy.",anger
8522,8970,You think?,surprise
8543,8991,"Not him, you don’t!",surprise
8547,8995,"Hey! Hold on a minute, hold on a second. Do you think these pearls are nice?",anger
8550,8998,"Whoa, whoa, whoa, wait, whoa.",surprise
8551,8999,"Do you ah, want to get her something speacial, get her flowers, get her candy, get her gum, girls love gum.",anger
8556,9004,"All right. Look, I’m gonna go in here, and you don’t buy me anything ever.",anger
8558,9006,Why not?!,surprise
8562,9010,What?,surprise
8565,9014,I’m telling you it’s like watching Bambi learn how to walk.,anger
8566,9015,You’re drunk! Mom and dad are gonna be maaaaadd! Maybe I’m a little drunk.,surprise
8570,9020,I really wish that you wouldn’t.,anger
8580,9030,"Hey Chandler, you can’t keep your hands off her for one second!",anger
8584,9034,Oh crap!,anger
8592,9042,See? I’m doing it. I am totally doing it.  I lost it.,anger
8595,9045,"Yeah, we-we feel kinda responsible.",anger
8602,9052,"C'mon, she's your mom!",anger
8614,9064,Why does my cinamon stick have an eraser?,surprise
8615,9065,Oh! That's why.  I'm sorry!,surprise
8617,9068,You can't put your cigarette out on a tree!,anger
8619,9070,No but you shouldn't! Don't ever do that again.,anger
8620,9071,I won't!  Until I have my next cigarette.,anger
8621,9072,Hold it!  N.Y.P.D! Freeze punk!,anger
8622,9073,What?!,surprise
8623,9074,Yeah that's right you are so busted.  Book 'em.,anger
8624,9075,Who are you talking too?,surprise
8627,9078,You apologize to the tree right now or I am calling for backup.   Backup! Backup!!,anger
8632,9083,Ross!,surprise
8634,9085,"Come here, check this out!",surprise
8636,9087,"No! No-no. Look, there’s a bug stuck in tar right here.",surprise
8637,9088,"Joey come—I can’t believe—I bring you here to see the Bapstein-King comet, one of nature’s most spectacular phenomenon, and all you care about are bugs stuck in tar and-and some woman!",anger
8643,9094,Joey!,anger
8644,9095,What?! All right—Hey! Don’t look at me! You’re the one who wanted to come up and look for some stupid,anger
8645,9096,"It’s called the Bapstein-King comet, okay?  Hey! Hey! Bapstein was a very well respected astronomer!",anger
8646,9097,Oh no! No! No!,surprise
8659,9111,Fantastic! I have one question: How is that possible?,surprise
8666,9118,What?,surprise
8673,9125,What the hell!,surprise
8677,9129,My God!,surprise
8678,9130,These pants are burning up!,surprise
8679,9131,"Oh come on, she wants to snuggle now!",surprise
8680,9132,What is she trying to kill me?,anger
8681,9133,It's like a volcano in here!,surprise
8685,9137,You're driving me crazy with that!,anger
8687,9139,Don’t stop! Move the bowl further away! Ross could make that shot!,anger
8688,9140,"Well, you suck! But at least you suck at a man's game now.",anger
8721,9173,Ah!,surprise
8730,9182,No?,anger
8731,9183,Really?,surprise
8737,9189,You’re actually going through with this?,surprise
8738,9190,"Hey, look, this name has been holding me back my entire life.",anger
8740,9192,You got problems because of you!,anger
8742,9194,"All right, this has got to stop!",anger
8743,9195,Chandler is a great name!,anger
8746,9198,Damn! I thought that was going to be romantic as hell!,surprise
8749,9201,Wow! That was good. That was... Tweezers?,surprise
8751,9203,Whoa. That was really good.,surprise
8753,9206,You-you…you had sex with Ursula?!,surprise
8755,9208,You didn’t notice she was wearing different clothes?!,surprise
8763,9216,"Yeah, so do you.",anger
8769,9222,You can?,surprise
8779,9232,Oh no! Where to?  Too Paris?,surprise
8782,9235,"Okay, could you just stop talking for a second?  Yemen. That’s right, yes, I’m being transferred to Yemen!",anger
8783,9236,When?,anger
8807,9261,"No, no, I keep trying, y’know?",anger
8820,9275,Oh my God! You’re pregnant!,surprise
8823,9278,Really?!,surprise
8825,9280,Oh my God!—Eh! Well,surprise
8830,9285,Me too.,anger
8833,9288,"Hey, it’s your Thanksgiving too, y'know, instead of watching football, you could help.",anger
8851,9307,"Well, John McClane had plans!",anger
8853,9309,What are you talking about? Bitch.,anger
8855,9311,"I can't prove    it yet, but when I do, you'll be going to jail for murder.",anger
8858,9314,Stop going through my stuff !,anger
8861,9317,"I just wanted to let you know I've changed my mind: I'm gonna    do it, I'm gonna kiss Joey.",anger
8863,9319,"Please, what about you and Chandler?",anger
8864,9320,That's different! I was drunk and stupid!,anger
8865,9321,Well hello !,anger
8867,9323,"I could, I could but I don't want to! I want to kiss Joey!",anger
8884,9340,"Joey, what are you doing?",surprise
8885,9341,Just being friendly.,anger
8886,9342,"Joey, honey, I don’t think you’re supposed to go back there.",anger
8888,9344,Don’t wink at me. And put on your apron.,anger
8890,9346,"Joey, do you work here?",surprise
8898,9354,"This is Chandler Bing! This is Chandler Bing!  Yes, the groom—No! Not the groom!!",surprise
8901,9357,I can't believe this! This is like the worst night ever!,anger
8907,9363,Tell him that you're sorry and that you love him.,anger
8914,9370,"Yeah, it’s in the guys’ apartment under the sink. Why?",surprise
8916,9372,What?! What do you mean you’re going to London?,surprise
8926,9382,Ohh—Do you think he will?!,surprise
8929,9385,"Look, Rachel, if you go, you’re just gonna mess with his head and ruin his wedding!",anger
8930,9386,"Y’know, it’s too late!",anger
8933,9389,"Y’know what? No. It’s not over until someone says, ""I do.""",anger
8949,9405,"Oh hi, Mrs. Loreo, is Jennifer there?",surprise
8950,9406,"Oh, she’s not home huh?",surprise
8952,9408,Hey!,anger
8956,9412,Oh my God! He did it?,surprise
8958,9414,Are you kidding?,surprise
8964,9420,"Why?! You two are so meant to be together, everybody thinks  so.",surprise
8965,9421,Really?! Even Ross?,surprise
8968,9424,"Wow! Kind of uh, kind of a full house here. I’ll guess just…I’ll  come back.",surprise
8984,9440,"Look Julio, someone left their book here.",surprise
8998,9454,What?,surprise
9000,9456,What?,surprise
9002,9458,Are we really in Montreal?!,surprise
9007,9463,"Oh, maybe these’ll taste a little like your grandmother’s.",anger
9010,9467,"Oh, what was that for? Like a bake sale?",surprise
9013,9470,Would she?  You ate my candy bar!,anger
9020,9477,Hi! Is my misery amusing to you?,anger
9022,9479,"It’s not funny, this is actually my job.",anger
9031,9488,Why?,surprise
9033,9490,Oh my God.,surprise
9037,9494,"He's coming. Be cool, be cool, be cool.",anger
9039,9496,We are not going to whistle.,anger
9041,9498,No!,anger
9043,9500,No!,anger
9046,9503,I can't believe you did that!,surprise
9048,9505,Still?,surprise
9051,9508,"Either eat it, or be in it.",anger
9067,9524,What are you doing here!,surprise
9092,9549,Oh my God!,surprise
9094,9551,This year was supposed to be great!,anger
9097,9554,Look at me!,anger
9110,9568,"No you didn't. You said you would, but you never did!",anger
9111,9569,Oh yeah!,surprise
9123,9581,To kill Bob??,surprise
9125,9583,"No, Mike, I don't want to kill him!",anger
9131,9589,Robert!,anger
9133,9591,Oh - Oh my god!,surprise
9134,9592,Bob    had babies!,surprise
9135,9593,Bob's a mom!,surprise
9147,9605,Joey!,surprise
9148,9606,What one? You wanted him to invite you to the party and he did it!,surprise
9149,9607,"Yeah, but he waited until the last minute!",anger
9150,9608,"So if I said yes, he would know I had nothing better to do than wait around for an invitation to his stupid party.",anger
9151,9609,"I said, ""No!""",anger
9153,9611,Great. So the ball is in his court?,anger
9154,9612,Ball? There is no ball.,anger
9155,9613,"Oh, hey Rach! I thought we said seven?",surprise
9157,9615,What?! Why?!,surprise
9159,9617,Oh great! That,anger
9170,9629,What?,surprise
9185,9644,The waiter carried the breadsticks in his pants!,anger
9191,9650,"Hey! I’m proud of that sauce, it’s delicious.",anger
9192,9651,Oh my God! You own an Italian restaurant and you think that tastes good?! Where are you even from?,surprise
9194,9653,"Hand me those tomatoes, I’m gonna show you what it should taste like! Come on, hand me them.",anger
9197,9656,Ohh. Uh-huh. Uh-huh.  You'll get your turn!,anger
9199,9658,Nothing!   This is not over!,anger
9200,9659,No! No! No!,anger
9201,9660,What?!,surprise
9205,9664,Really?,surprise
9210,9669,Oh God!,surprise
9217,9676,Ross! You gotta stop! Okay?! You can’t just stare through the peep hole for three hours! You’re gonna get peep eye!,anger
9218,9677,I knew it!,surprise
9219,9678,I knew it!,anger
9220,9679,I always knew she liked him!,anger
9221,9680,"Y'know, she’d say no, but here we are!",anger
9223,9682,"We just broke up, first thing she does!",anger
9225,9684,"Hey, it’s been like three weeks!",anger
9231,9702,I made a promise that--Oh hey!,surprise
9233,9704,You're nose is bleeding!,surprise
9236,9707,Oh not again!,anger
9251,9722,"Amy Welch? Wow! I haven’t seen her since... So, Monica about ready?",surprise
9253,9724,How can you let him talk to your crotch like that?,surprise
9255,9726,Ohh!,surprise
9256,9727,Okay!,surprise
9257,9728,"Okay, cause when-when he said, ""I can’t wait to hear your first words,"" I thought, ""There’s a trick.""",surprise
9260,9731,"Oh my, oh my God!",surprise
9261,9732,"Aw, it’s unbelievable!",surprise
9262,9733,Wow!,surprise
9263,9734,She is kicking so much!,surprise
9268,9739,Oh-oh!! One hand on the sheet Joe!,surprise
9269,9740,Whoa-hey-oh! Sorry!,surprise
9271,9742,Dude!,surprise
9273,9744,You really like it?,surprise
